Task ID,Section,Description,Owner,Dependencies,Pre-requisites,Definition of Done,Status,KPIs,Target Sprint,Artifacts To Track,Validation Method,Estimate (O/M/P),Planned Start,Planned Finish,Percent Complete,Dependency Types,Cadence
IFC-043,Documentation,"Operational runbooks (deploy, rollback, incident response, backup/restore, access requests)",DevOps + Tech Lead (STOA-Automation),"ENV-008-AI,IFC-112,IFC-113,IFC-115,IFC-130",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Infrastructure stable;POLICY:procedures defined;FILE:docs/operations/quality-gates.md;FILE:docs/operations/release-rollback.md;FILE:artifacts/misc/otel-config.yaml;FILE:artifacts/metrics/blue-green-metrics.csv;FILE:artifacts/misc/vault-config.yml;FILE:artifacts/misc/backup-scripts.sh;FILE:docs/release/promotion-policy.md,"Incident response, deployment, rollback procedures; artifacts: incident-response-flowchart.svg, deployment-checklist.md, rollback-test.log; targets: <30min; verified by: pnpm test",Backlog,"All procedures tested, <30min MTTR",25,ARTIFACT:docs/operations/incident-response-flowchart.svg;ARTIFACT:docs/operations/deployment-checklist.md;ARTIFACT:artifacts/logs/rollback-test.log;EVIDENCE:.specify/sprints/sprint-25/attestations/IFC-043/context_ack.json,VALIDATE:pnpm test,120/240/480,2026-11-29,2026-12-06,0,"ENV-008-AI:FS,IFC-112:FS,IFC-113:FS,IFC-115:FS,IFC-130:FS",
IFC-044,Testing,Unit Tests (Vitest + TDD),All Developers (STOA-Foundation),ENV-010-AI,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Vitest configured;ENV:TDD workflow adopted;FILE:docs/tdd-guidelines.md;FILE:docs/shared/review-checklist.md,"90%+ coverage, all business logic tested; artifacts: lcov.info, test-execution-time.log, tdd-compliance.csv; gates: coverage-gte-90",Completed,"Coverage >90%, tests fast (<30s)",0,ARTIFACT:vitest.config.ts;ARTIFACT:artifacts/logs/test-execution-time.log;ARTIFACT:artifacts/metrics/tdd-compliance.csv;ARTIFACT:artifacts/reports/mutation-test.json;EVIDENCE:.specify/sprints/sprint-0/attestations/IFC-044/context_ack.json,VALIDATE:pnpm test;GATE:coverage-gte-90,90/180/360,2025-12-20,2025-12-25,100,ENV-010-AI:FS,
IFC-045,Testing,Integration Tests (Vitest + MSW),QA + Backend Dev (STOA-Quality),IFC-044,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:MSW configured;ENV:test data factories ready;FILE:docs/tdd-guidelines.md;FILE:docs/shared/review-checklist.md,"API integrations tested with mocks; artifacts: integration-coverage.json, context_ack.json",Completed,"All external calls mocked, reliable tests",14,ARTIFACT:apps/web/src/lib/test-runner/index.ts;ARTIFACT:apps/web/src/test/mocks/handlers.ts;ARTIFACT:apps/web/src/test/mocks/server.ts;ARTIFACT:apps/web/src/app/governance/quality-reports/__tests__/integration.test.tsx;EVIDENCE:.specify/sprints/sprint-14/attestations/IFC-045/context_ack.json;ARTIFACT:tests/integration/api.test.ts;ARTIFACT:tests/integration/README.md,VALIDATE:pnpm test,90/180/360,2026-06-28,2026-07-04,100,IFC-044:FS,
IFC-046,Testing,Security Tests (OWASP ZAP + Snyk),Security Eng + QA (STOA-Security),IFC-008,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:ZAP configured;ENV:Snyk integrated;FILE:docs/security/zero-trust-design.md;FILE:docs/security/owasp-checklist.md;FILE:docs/tdd-guidelines.md;FILE:docs/shared/review-checklist.md;FILE:artifacts/reports/compliance-report.md,Automated security scanning in CI/CD,Backlog,"0 high vulnerabilities, OWASP compliant",23,ARTIFACT:.github/workflows/security.yml;ARTIFACT:artifacts/misc/zap-report.xml;ARTIFACT:artifacts/reports/snyk-report.json;ARTIFACT:docs/security/security-baseline.md;EVIDENCE:.specify/sprints/sprint-23/attestations/IFC-046/context_ack.json;ARTIFACT:docs/planning/adr/ADR-015-security-validation.md,AUDIT:security-review;VALIDATE:pnpm typecheck;VALIDATE:pnpm test,120/240/480,2026-11-01,2026-11-08,0,IFC-008:FS,
IFC-047,Testing,Performance Tests (k6 + Lighthouse),Performance Eng (STOA-Quality),IFC-007,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:k6 scripts ready;ENV:Lighthouse CI configured;FILE:docs/tdd-guidelines.md;FILE:docs/shared/review-checklist.md;FILE:artifacts/misc/k6/scripts/load-test.js,"Automated performance regression prevention; artifacts: .lighthouserc.js, performance-budgets.json, regression-alerts.yaml; targets: <100ms; gates: p99-latency-check",Backlog,"p99 <100ms maintained, Core Web Vitals green",22,ARTIFACT:lighthouserc.js;ARTIFACT:artifacts/benchmarks/performance-budgets.json;ARTIFACT:artifacts/misc/regression-alerts.yaml;EVIDENCE:.specify/sprints/sprint-22/attestations/IFC-047/context_ack.json;ARTIFACT:docs/planning/adr/ADR-018-performance-load-testing.md,GATE:p99-latency-check,90/180/360,2026-10-18,2026-10-24,0,IFC-007:FS,
IFC-048,Testing,User Acceptance Testing,PM + Sales Team (STOA-Foundation),IFC-039,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;POLICY:All features complete;POLICY:test scenarios defined;FILE:docs/tdd-guidelines.md;FILE:docs/shared/review-checklist.md;FILE:artifacts/misc/embeddings-quality-test.json,"Real users validate workflows and AI accuracy; artifacts: uat-test-scenarios.xlsx, uat-results.csv, feedback-action-items.md; targets: >=90%",Backlog,"90% satisfaction, feedback incorporated",25,ARTIFACT:artifacts/reports/uat-test-scenarios.xlsx;ARTIFACT:artifacts/misc/uat-results.csv;ARTIFACT:docs/shared/feedback-action-items.md;EVIDENCE:.specify/sprints/sprint-25/attestations/IFC-048/context_ack.json,VALIDATE:pnpm typecheck,90/180/360,2026-11-29,2026-12-05,0,IFC-039:FS,
IFC-049,Investment Gate,Gate 4 Review - £5000 Investment,CEO + Board (STOA-Leadership),IFC-048,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;POLICY:All features complete;ENV:metrics positive;FILE:docs/shared/review-checklist.md;FILE:docs/operations/quality-gates.md;FILE:artifacts/reports/uat-test-scenarios.xlsx,"Decision on productization and scale; artifacts: final-investment-review.pptx, market-validation.pdf, product-roadmap-2025.xlsx",Backlog,"Product strategy clear, market validated",26,ARTIFACT:artifacts/misc/final-investment-review.pptx;ARTIFACT:artifacts/reports/market-validation.pdf;ARTIFACT:artifacts/reports/product-roadmap-2025.xlsx;ARTIFACT:artifacts/reports/board-resolution.pdf;EVIDENCE:.specify/sprints/sprint-26/attestations/IFC-049/context_ack.json,VALIDATE:pnpm lint,60/120/180,2026-12-13,2026-12-16,0,IFC-048:FS,
IFC-050,Launch,Internal Launch Preparation,PM + Marketing (STOA-Foundation),IFC-048,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Training materials ready;ENV:team briefed;FILE:docs/shared/review-checklist.md;FILE:docs/operations/pr-checklist.md;FILE:artifacts/reports/uat-test-scenarios.xlsx,"Team onboarded to modern stack and features; artifacts: team-quiz-results.csv, onboarding-checklist.md, launch-readiness.pdf; targets: >=100%",Backlog,"100% team trained, documentation complete",26,ARTIFACT:docs/shared/onboarding-checklist.md;ARTIFACT:artifacts/reports/launch-readiness.pdf;EVIDENCE:.specify/sprints/sprint-26/attestations/IFC-050/context_ack.json,VALIDATE:pnpm typecheck,90/180/360,2026-12-13,2026-12-19,0,IFC-048:FS,
IFC-051,Launch,Pilot Customer Selection,Sales + CEO (STOA-Leadership),IFC-049,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;POLICY:Customer criteria defined;ENV:NDA templates ready;FILE:artifacts/misc/final-investment-review.pptx,"2-3 pilot customers for beta testing; artifacts: pilot-customer-criteria.md, expectations-matrix.xlsx, context_ack.json",Backlog,"Pilots confirmed, expectations documented",27,ARTIFACT:docs/shared/pilot-customer-criteria.md;ARTIFACT:artifacts/reports/expectations-matrix.xlsx;EVIDENCE:.specify/sprints/sprint-27/attestations/IFC-051/context_ack.json,VALIDATE:pnpm test,60/120/240,2026-12-27,2026-12-31,0,IFC-049:FS,
IFC-052,Launch,Production Deployment,DevOps + Whole Team (STOA-Automation),"IFC-040,IFC-050",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Vercel + Railway production ready;ENV:rollback plan;FILE:docs/shared/review-checklist.md;FILE:docs/operations/pr-checklist.md;FILE:docs/operations/release-rollback.md;FILE:docs/shared/production-checklist.md;FILE:artifacts/misc/team-quiz-results.csv,"Zero-downtime deployment with feature flags; artifacts: deployment-log.txt, feature-flags-config.json, monitoring-dashboard.url; verified by: pnpm test",Backlog,"Deployed successfully, monitoring active",27,ARTIFACT:artifacts/misc/deployment-log.txt;ARTIFACT:artifacts/misc/feature-flags-config.json;ARTIFACT:artifacts/misc/monitoring-dashboard.url;ARTIFACT:artifacts/logs/rollback-test.log;EVIDENCE:.specify/sprints/sprint-27/attestations/IFC-052/context_ack.json,VALIDATE:pnpm test,120/240/480,2026-12-27,2027-01-03,0,"IFC-040:FS,IFC-050:FS",
IFC-053,Launch,Hypercare Period,Support Team + DevOps (STOA-Automation),IFC-052,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;POLICY:Support procedures defined;ENV:on-call scheduled;FILE:artifacts/misc/deployment-log.txt,"24/7 support for 2 weeks, then business hours; artifacts: hypercare-schedule.xlsx, incident-log.csv, response-time-report.pdf; gates: response-time-check",Backlog,"<15min response time, 99% uptime",28,ARTIFACT:artifacts/reports/hypercare-schedule.xlsx;ARTIFACT:artifacts/logs/incident-log.csv;ARTIFACT:artifacts/reports/response-time-report.pdf;ARTIFACT:artifacts/misc/uptime-dashboard.png;EVIDENCE:.specify/sprints/sprint-28/attestations/IFC-053/context_ack.json,GATE:response-time-check,240/480/960,2027-01-10,2027-01-22,0,IFC-052:FS,
IFC-054,Risk Mgmt,Technical Complexity Monitoring,CTO + Tech Lead (STOA-Foundation),,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;POLICY:Complexity metrics for tRPC/LangChain defined,"Weekly assessment of technical debt and complexity; artifacts: sonarqube-debt-report.html, complexity-metrics.json, refactoring-backlog.md; targets: >=10%",Completed,"Tech debt <10%, complexity manageable",7,ARTIFACT:artifacts/metrics/complexity-metrics.json;ARTIFACT:docs/shared/refactoring-backlog.md;ARTIFACT:artifacts/misc/team-velocity.csv;EVIDENCE:.specify/sprints/sprint-7/attestations/IFC-054/context_ack.json,VALIDATE:pnpm typecheck,60/120/240,2026-03-22,2026-03-26,100,,
IFC-055,Risk Mgmt,Budget Tracking with FinOps,CFO + PM (STOA-Leadership),,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Cost monitoring for Vercel/Railway/OpenAI setup,"Weekly spend review with projections and alerts; artifacts: weekly-cost-report.csv, usage-alerts-config.yaml, cost-optimization-actions.md, invoice-tracker.csv; variance -66.3%",Completed,"Budget variance <10%, no surprise costs",8,SPEC:.specify/sprints/sprint-8/specifications/IFC-055-spec.md;PLAN:.specify/sprints/sprint-8/planning/IFC-055-plan.md;EVIDENCE:.specify/sprints/sprint-8/attestations/IFC-055/context_pack.md;EVIDENCE:.specify/sprints/sprint-8/attestations/IFC-055/context_ack.json;ARTIFACT:artifacts/reports/weekly-cost-report.csv;ARTIFACT:artifacts/misc/usage-alerts-config.yaml;ARTIFACT:docs/shared/cost-optimization-actions.md;ARTIFACT:artifacts/misc/invoice-tracker.csv,VALIDATE:pnpm lint,60/120/240,2026-04-05,2026-04-09,100,,
IFC-056,Risk Mgmt,Team Upskilling Program,HR + Tech Lead (STOA-Foundation),IFC-009,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:Training paths for modern stack created;FILE:docs/shared/review-checklist.md;FILE:docs/operations/pr-checklist.md;FILE:artifacts/reports/team-skills-matrix.csv,"Continuous learning: tRPC, Next.js 16.0.10 (Turbopack FS caching, Cache Components, proxy replacing middleware), LangChain",Completed,"Team velocity increasing, confidence >4/5 (actual: 3.7/5)",9,ARTIFACT:artifacts/misc/skill-assessment-results.csv;ARTIFACT:artifacts/reports/training-completion.csv;ARTIFACT:artifacts/reports/confidence-survey.md;EVIDENCE:.specify/sprints/sprint-9/attestations/IFC-056/context_ack.json,VALIDATE:pnpm typecheck,120/240/480,2026-04-19,2026-04-26,100,IFC-009:FS,
IFC-057,Risk Mgmt,Vendor Lock-in Mitigation,PM + Tech Lead (STOA-Foundation),IFC-011,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;POLICY:Abstraction layers identified;ENV:portability tested;FILE:artifacts/reports/supabase-usage-report.json,"Can migrate from Supabase/Vercel if needed; artifacts: vendor-abstraction-layers.md, migration-test-plan.yaml, portability-test.log",Completed,"Migration tested, <1 week effort (actual: 3-5 days)",9,ARTIFACT:docs/shared/vendor-abstraction-layers.md;ARTIFACT:artifacts/misc/migration-test-plan.yaml;ARTIFACT:artifacts/logs/portability-test.log;ARTIFACT:artifacts/reports/alternatives.csv;EVIDENCE:.specify/sprints/sprint-9/attestations/IFC-057/context_ack.json,VALIDATE:pnpm typecheck,90/180/360,2026-04-19,2026-04-25,100,IFC-011:FS,
IFC-058,Compliance,"GDPR baseline controls: Supabase RLS policies, data minimisation, retention hooks",DPO + Legal (STOA-Foundation),"IFC-017,IFC-127,IFC-008",FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;POLICY:RLS policies defined;POLICY:data flows mapped;FILE:docs/planning/adr/ADR-001-modern-stack.md;FILE:docs/planning/adr/ADR-007-data-governance.md;FILE:docs/security/zero-trust-design.md;FILE:docs/shared/review-checklist.md;FILE:docs/operations/quality-gates.md;FILE:docs/operations/pr-checklist.md;FILE:packages/db/src/client.ts;FILE:infra/supabase/migrations/20250124000000_rls_policies.sql;FILE:artifacts/reports/compliance-report.md,"Row Level Security implemented, privacy by design; artifacts: gdpr-compliance-checklist.xlsx, audit-trail-test.json, context_ack.json",Completed,"0 compliance gaps, audit trail complete",11,ARTIFACT:artifacts/reports/gdpr-compliance-checklist.csv;ARTIFACT:artifacts/misc/audit-trail-test.json;EVIDENCE:.specify/sprints/sprint-11/attestations/IFC-058/context_ack.json,AUDIT:security-review;VALIDATE:pnpm typecheck,120/240/480,2026-05-17,2026-05-24,100,"IFC-017:FS,IFC-127:FS,IFC-008:FS",
IFC-059,Compliance,ISO 42001 Readiness Assessment,External Auditor + CTO (STOA-Foundation),IFC-040,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:AI governance framework drafted;FILE:docs/shared/production-checklist.md,"AI system compliance evaluated, roadmap created; artifacts: iso42001-assessment.pdf, ai-governance-framework.md, certification-roadmap.gantt; targets: >=70%",Backlog,"Readiness >70%, roadmap to certification",25,ARTIFACT:artifacts/reports/iso42001-assessment.pdf;ARTIFACT:docs/shared/ai-governance-framework.md;ARTIFACT:artifacts/misc/certification-roadmap.gantt;ARTIFACT:artifacts/reports/gap-remediation.xlsx;EVIDENCE:.specify/sprints/sprint-25/attestations/IFC-059/context_ack.json,VALIDATE:pnpm typecheck,120/240/480,2026-11-29,2026-12-06,0,IFC-040:FS,
IFC-060,Success,Success Metrics Review,CEO + All Leads (STOA-Leadership),IFC-052,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;ENV:All KPIs tracked;ENV:data collected;FILE:docs/shared/review-checklist.md;FILE:artifacts/misc/deployment-log.txt,"Modern stack ROI validated, future roadmap; artifacts: success-metrics-dashboard.pdf, roi-calculation.xlsx, phase-2-proposal.pptx",Backlog,"All targets met, Phase 2 planned",28,ARTIFACT:artifacts/metrics/success-metrics-dashboard.pdf;ARTIFACT:artifacts/reports/roi-calculation.xlsx;ARTIFACT:artifacts/misc/phase-2-proposal.pptx;ARTIFACT:docs/shared/lessons-learned.md;EVIDENCE:.specify/sprints/sprint-28/attestations/IFC-060/context_ack.json,VALIDATE:pnpm lint,60/120/180,2027-01-10,2027-01-14,0,IFC-052:FS,
IFC-061,Core CRM,FLOW-006: Lead to Contact Conversion Logic,Backend Dev + Domain Expert (STOA-Domain),"IFC-089,IFC-101,IFC-102",IMPLEMENTS:FLOW-006;FILE:packages/domain/src/crm/lead/Lead.ts;FILE:packages/domain/src/crm/contact/Contact.ts;FILE:apps/api/src/modules/contact/contact.router.ts,"Lead converts to Contact with all data preserved, audit trail created; artifacts: conversion-service.ts, conversion.test.ts; targets: <200ms, 100% data integrity",Completed,"Conversion <200ms, 100% data preserved",14,ARTIFACT:packages/application/src/usecases/leads/ConvertLeadToContactUseCase.ts;ARTIFACT:packages/application/src/usecases/leads/__tests__/ConvertLeadToContactUseCase.test.ts;EVIDENCE:.specify/sprints/sprint-14/attestations/IFC-061/context_ack.json;ARTIFACT:docs/planning/adr/ADR-019-core-crm-foundation.md;ARTIFACT:docs/planning/prd-core-crm.md,VALIDATE:pnpm test,60/120/240,2026-06-28,2026-07-02,100,"IFC-089:FS,IFC-101:FS,IFC-102:FS",
IFC-062,Core CRM,FLOW-006: Lead to Deal Conversion Logic,Backend Dev + Domain Expert (STOA-Domain),"IFC-061,IFC-104",IMPLEMENTS:FLOW-006;FILE:packages/domain/src/crm/lead/Lead.ts;FILE:packages/domain/src/crm/opportunity/Opportunity.ts;FILE:apps/api/src/modules/opportunity/opportunity.router.ts,Lead converts to Deal/Opportunity with pipeline assignment; artifacts: deal-conversion-service.ts; targets: <200ms,Completed,"Conversion <200ms, automatic pipeline stage",14,ARTIFACT:packages/application/src/usecases/leads/ConvertLeadToDealUseCase.ts;ARTIFACT:packages/application/src/usecases/leads/__tests__/ConvertLeadToDealUseCase.test.ts;ARTIFACT:apps/api/src/modules/lead/__tests__/lead.convertToDeal.router.test.ts;EVIDENCE:.specify/sprints/sprint-14/attestations/IFC-062/context_ack.json,VALIDATE:pnpm test,60/120/240,2026-02-20,2026-02-20,100,"IFC-061:FS,IFC-104:FS",
IFC-063,Core CRM,FLOW-007: Pipeline Stage Customization,Frontend Dev + Backend Dev (STOA-Domain),"IFC-091,IFC-104",IMPLEMENTS:FLOW-007;FILE:apps/api/src/modules/opportunity/opportunity.router.ts;FILE:packages/domain/src/crm/opportunity/Opportunity.ts,"Users can customize pipeline stages, colors, and order; artifacts: pipeline-config.ts; targets: <100ms save",Completed,"Stage customization functional, persists <100ms",14,ARTIFACT:apps/api/src/modules/opportunity/pipeline-config.router.ts;ARTIFACT:apps/web/src/app/settings/pipeline/page.tsx;EVIDENCE:.specify/sprints/sprint-14/attestations/IFC-063/context_ack.json;ARTIFACT:docs/planning/adr/ADR-019-core-crm-foundation.md;ARTIFACT:docs/planning/prd-core-crm.md,VALIDATE:pnpm test,60/120/240,2026-06-28,2026-07-02,100,"IFC-091:FS,IFC-104:FS",
IFC-064,Core CRM,FLOW-007: Kanban Drag-Drop Persistence,Frontend Dev + Backend Dev (STOA-Domain),"IFC-091,IFC-063",IMPLEMENTS:FLOW-007;FILE:apps/api/src/modules/opportunity/opportunity.router.ts;FILE:apps/web/src/app/deals/(list)/page.tsx,"Drag-drop stage changes persist immediately with optimistic updates; targets: <300ms persist, instant UI",Completed,"Instant UI update, <300ms server persist",14,ARTIFACT:apps/web/src/components/deals/PipelineBoard.tsx;ARTIFACT:apps/web/src/components/deals/LossReasonModal.tsx;EVIDENCE:.specify/sprints/sprint-14/attestations/IFC-064/context_ack.json,VALIDATE:pnpm test,60/120/240,2026-07-03,2026-02-21,100,"IFC-091:FS,IFC-063:FS",
IFC-065,Core CRM,FLOW-009: Deal Won Closure Workflow,Backend Dev + Domain Expert (STOA-Domain),"IFC-091,IFC-092",IMPLEMENTS:FLOW-009;FILE:apps/api/src/modules/opportunity/opportunity.router.ts;FILE:packages/domain/src/crm/opportunity/Opportunity.ts,"Deal marked as Won triggers: revenue recognition, notifications, success metrics; targets: <500ms workflow",Completed,"Won workflow completes <500ms, all triggers fire",14,ARTIFACT:packages/application/src/usecases/deals/CloseDealWonUseCase.ts;ARTIFACT:packages/domain/src/crm/opportunity/OpportunityEvents.ts;EVIDENCE:.specify/sprints/sprint-14/attestations/IFC-065/context_ack.json,VALIDATE:pnpm test,60/120/240,2026-02-21,2026-02-21,100,"IFC-091:FS,IFC-092:FS",
IFC-066,Core CRM,FLOW-009: Deal Lost Closure Workflow,Backend Dev + Domain Expert (STOA-Domain),"IFC-091,IFC-092",IMPLEMENTS:FLOW-009;FILE:apps/api/src/modules/opportunity/opportunity.router.ts;FILE:packages/domain/src/crm/opportunity/Opportunity.ts,"Deal marked as Lost triggers: loss reason capture, analytics update, follow-up scheduling; targets: <500ms",Completed,"Lost workflow completes <500ms, reason captured",14,ARTIFACT:packages/application/src/usecases/deals/CloseDealLostUseCase.ts;ARTIFACT:apps/web/src/components/deals/LossReasonModal.tsx;EVIDENCE:.specify/sprints/sprint-14/attestations/IFC-066/context_ack.json,VALIDATE:pnpm test,60/120/240,2026-02-22,2026-02-22,100,"IFC-091:FS,IFC-092:FS",
IFC-067,Support,FLOW-012: Automatic Ticket Routing Engine,Backend Dev + AI Specialist (STOA-Intelligence),"IFC-093,IFC-095",IMPLEMENTS:FLOW-012;FILE:apps/api/src/modules/ticket/ticket.router.ts;FILE:apps/ai-worker/src/chains/scoring.chain.ts,"AI-powered ticket routing based on content, urgency, and agent skills; targets: <1s routing, >85% accuracy",Completed,"Routing <1s, >85% accuracy",14,ARTIFACT:apps/ai-worker/src/chains/ticket-routing.chain.ts;ARTIFACT:apps/api/src/modules/ticket/__tests__/routing.test.ts;EVIDENCE:.specify/sprints/sprint-14/attestations/IFC-067/context_ack.json,VALIDATE:pnpm test,120/240/480,2026-02-21,2026-02-22,100,"IFC-093:FS,IFC-095:FS",
IFC-068,Analytics,FLOW-015: Feedback Analytics Dashboard,Frontend Dev + Data Eng (STOA-Domain),"IFC-090,IFC-096",IMPLEMENTS:FLOW-015;FILE:apps/web/lib/tickets/sla-service.ts;FILE:apps/api/src/modules/opportunity/opportunity.router.ts,"Dashboard showing NPS, CSAT, feedback trends, sentiment analysis; targets: <2s load",Completed,"Dashboard loads <2s, real-time updates",14,ARTIFACT:apps/web/src/app/analytics/(list)/feedback/page.tsx;ARTIFACT:apps/api/src/modules/feedback/feedbackSurvey.router.ts;EVIDENCE:.specify/sprints/sprint-14/attestations/IFC-068/attestation.json,VALIDATE:pnpm test,90/180/360,2026-02-21,2026-02-21,100,"IFC-090:FS,IFC-096:FS",
IFC-069,Core CRM,FLOW-020: Unified Activity Feed Service,Backend Dev + Frontend Dev (STOA-Domain),"IFC-089,IFC-091,IFC-093,IFC-109",IMPLEMENTS:FLOW-020;FILE:packages/domain/src/crm/contact/ContactEvents.ts;FILE:apps/api/src/modules/contact/contact.router.ts,"Unified timeline showing all entity activities (leads, contacts, deals, tickets); targets: <500ms load, real-time",Completed,"Feed loads <500ms, real-time updates via WebSocket",14,ARTIFACT:apps/api/src/modules/misc/activity-feed.router.ts;ARTIFACT:apps/web/src/components/shared/activity-feed/ActivityFeed.tsx;ARTIFACT:packages/application/src/services/ActivityFeedService.ts;EVIDENCE:.specify/sprints/sprint-14/attestations/IFC-069/attestation.json,VALIDATE:pnpm test,120/240/480,2026-06-28,2026-07-05,100,"IFC-089:FS,IFC-091:FS,IFC-093:FS,IFC-109:FS",
IFC-070,Migration,Data Migration from Legacy,DA + DevOps (STOA-Automation),IFC-017,FILE:.specify/memory/Framework.md;FILE:audit-matrix.yml;POLICY:Prisma introspection complete;ENV:ETL designed;FILE:docs/planning/adr/ADR-007-data-governance.md;FILE:packages/db/src/client.ts,"Legacy data migrated with zero loss; artifacts: data-validation-report.csv, migration-log.txt, rollback-procedure.md",Completed,"100% data migrated, validation passed",18,SPEC:.specify/sprints/sprint-18/specifications/IFC-070-spec.md;PLAN:.specify/sprints/sprint-18/planning/IFC-070-plan.md;ARTIFACT:artifacts/reports/data-validation-report.csv;ARTIFACT:artifacts/misc/migration-log.txt;ARTIFACT:docs/shared/rollback-procedure.md;EVIDENCE:.specify/sprints/sprint-18/attestations/IFC-070/attestation.json;EVIDENCE:.specify/sprints/sprint-18/attestations/IFC-070/context_ack.json;EVIDENCE:.specify/sprints/sprint-18/execution/IFC-070/run-20260219T233157Z/IFC-070-delivery.md,VALIDATE:pnpm typecheck,180/360/720,2026-08-23,2026-09-01,100,IFC-017:FS,
