Source_Table,Source_Column,Target_Table,Target_Column,Transform,Data_Type,Nullable,Validation_Rule
legacy_users,id,users,id,"CUID generate from source ID mapping table",String,false,"NOT NULL, UNIQUE"
legacy_users,email,users,email,"TRIM and lowercase",String,false,"NOT NULL, UNIQUE, matches email regex"
legacy_users,full_name,users,name,"Split on space - first word to firstName, rest to lastName",String,true,"Max 255 chars"
legacy_users,avatar_url,users,avatarUrl,"URL validation and prefix rewrite",String,true,"Valid URL or NULL"
legacy_users,user_type,users,role,"MAPPING: 0->USER, 1->ADMIN, 2->MANAGER, 3->SALES_REP",Enum,false,"One of UserRole enum values"
legacy_users,created_ts,users,createdAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_users,updated_ts,users,updatedAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_leads,lead_id,leads,id,"Generate CUID from legacy ID mapping",String,false,"NOT NULL, UNIQUE"
legacy_leads,email_address,leads,email,"TRIM and lowercase, validate format",String,false,"NOT NULL, valid email"
legacy_leads,first_name,leads,firstName,"TRIM to 255 chars",String,true,"Max 255 chars"
legacy_leads,last_name,leads,lastName,"TRIM to 255 chars",String,true,"Max 255 chars"
legacy_leads,company_name,leads,company,"TRIM to 500 chars",String,true,"Max 500 chars"
legacy_leads,job_title,leads,title,"TRIM to 255 chars",String,true,"Max 255 chars"
legacy_leads,phone_number,leads,phone,"Standardize to E.164 format, validate",String,true,"Valid E.164 or NULL"
legacy_leads,lead_source_id,leads,source,"MAPPING: 1->WEBSITE, 2->REFERRAL, 3->SOCIAL, 4->EMAIL, 5->COLD_CALL, 6->EVENT, 7->OTHER",Enum,false,"One of LeadSource enum values"
legacy_leads,status_code,leads,status,"MAPPING: 0->NEW, 1->CONTACTED, 2->QUALIFIED, 3->UNQUALIFIED, 4->CONVERTED, 5->LOST",Enum,false,"One of LeadStatus enum values"
legacy_leads,score_value,leads,score,"Parse numeric score, clamp 0-100",Integer,false,"0-100 inclusive"
legacy_leads,owner_id,leads,ownerId,"Lookup new user ID from migration map",String,false,"Valid reference to users.id"
legacy_leads,created_ts,leads,createdAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_leads,updated_ts,leads,updatedAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_contacts,contact_id,contacts,id,"Generate CUID from legacy ID mapping",String,false,"NOT NULL, UNIQUE"
legacy_contacts,email,contacts,email,"TRIM and lowercase, validate format",String,false,"NOT NULL, UNIQUE"
legacy_contacts,first_name,contacts,firstName,"TRIM to 255 chars",String,false,"NOT NULL, Max 255 chars"
legacy_contacts,last_name,contacts,lastName,"TRIM to 255 chars",String,false,"NOT NULL, Max 255 chars"
legacy_contacts,job_title,contacts,title,"TRIM to 255 chars",String,true,"Max 255 chars"
legacy_contacts,phone,contacts,phone,"Standardize to E.164 format",String,true,"Valid E.164 or NULL"
legacy_contacts,department,contacts,department,"TRIM to 255 chars, standardize dept names",String,true,"Max 255 chars"
legacy_contacts,account_id,contacts,accountId,"Lookup new account ID from migration map",String,true,"Valid reference to accounts.id or NULL"
legacy_contacts,owner_id,contacts,ownerId,"Lookup new user ID from migration map",String,false,"Valid reference to users.id"
legacy_contacts,created_ts,contacts,createdAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_contacts,updated_ts,contacts,updatedAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_accounts,account_id,accounts,id,"Generate CUID from legacy ID mapping",String,false,"NOT NULL, UNIQUE"
legacy_accounts,company_name,accounts,name,"TRIM to 500 chars",String,false,"NOT NULL, Max 500 chars"
legacy_accounts,website_url,accounts,website,"URL validation, ensure https://",String,true,"Valid URL or NULL"
legacy_accounts,industry,accounts,industry,"TRIM to 255 chars, standardize industry list",String,true,"Max 255 chars"
legacy_accounts,employee_count,accounts,employees,"Parse numeric value, validate range",Integer,true,"NULL or 0-10000000"
legacy_accounts,annual_revenue,accounts,revenue,"Parse decimal, convert to base currency",Decimal,true,"NULL or valid decimal(15,2)"
legacy_accounts,description,accounts,description,"TRIM to 2000 chars",String,true,"Max 2000 chars"
legacy_accounts,owner_id,accounts,ownerId,"Lookup new user ID from migration map",String,false,"Valid reference to users.id"
legacy_accounts,created_ts,accounts,createdAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_accounts,updated_ts,accounts,updatedAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_opportunities,opportunity_id,opportunities,id,"Generate CUID from legacy ID mapping",String,false,"NOT NULL, UNIQUE"
legacy_opportunities,name,opportunities,name,"TRIM to 500 chars",String,false,"NOT NULL, Max 500 chars"
legacy_opportunities,amount,opportunities,value,"Parse decimal, validate positive",Decimal,false,"NOT NULL, valid decimal(15,2)"
legacy_opportunities,stage_id,opportunities,stage,"MAPPING: 0->PROSPECTING, 1->QUALIFICATION, 2->NEEDS_ANALYSIS, 3->PROPOSAL, 4->NEGOTIATION, 5->CLOSED_WON, 6->CLOSED_LOST",Enum,false,"One of OpportunityStage enum values"
legacy_opportunities,probability,opportunities,probability,"Parse numeric percentage, clamp 0-100",Integer,false,"0-100 inclusive"
legacy_opportunities,expected_close_date,opportunities,expectedCloseDate,"Parse date, convert to ISO 8601 datetime",DateTime,true,"Valid ISO 8601 or NULL"
legacy_opportunities,description,opportunities,description,"TRIM to 2000 chars",String,true,"Max 2000 chars"
legacy_opportunities,owner_id,opportunities,ownerId,"Lookup new user ID from migration map",String,false,"Valid reference to users.id"
legacy_opportunities,account_id,opportunities,accountId,"Lookup new account ID from migration map",String,false,"Valid reference to accounts.id"
legacy_opportunities,contact_id,opportunities,contactId,"Lookup new contact ID from migration map",String,true,"Valid reference to contacts.id or NULL"
legacy_opportunities,closed_date,opportunities,closedAt,"Parse date, convert to ISO 8601 datetime",DateTime,true,"Valid ISO 8601 or NULL"
legacy_opportunities,created_ts,opportunities,createdAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_opportunities,updated_ts,opportunities,updatedAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_tasks,task_id,tasks,id,"Generate CUID from legacy ID mapping",String,false,"NOT NULL, UNIQUE"
legacy_tasks,title,tasks,title,"TRIM to 500 chars",String,false,"NOT NULL, Max 500 chars"
legacy_tasks,description,tasks,description,"TRIM to 2000 chars",String,true,"Max 2000 chars"
legacy_tasks,due_date,tasks,dueDate,"Parse date, convert to ISO 8601 datetime",DateTime,true,"Valid ISO 8601 or NULL"
legacy_tasks,priority_level,tasks,priority,"MAPPING: 0->LOW, 1->MEDIUM, 2->HIGH, 3->URGENT",Enum,false,"One of TaskPriority enum values"
legacy_tasks,status_code,tasks,status,"MAPPING: 0->PENDING, 1->IN_PROGRESS, 2->COMPLETED, 3->CANCELLED",Enum,false,"One of TaskStatus enum values"
legacy_tasks,owner_id,tasks,ownerId,"Lookup new user ID from migration map",String,false,"Valid reference to users.id"
legacy_tasks,lead_id,tasks,leadId,"Lookup new lead ID from migration map",String,true,"Valid reference to leads.id or NULL"
legacy_tasks,contact_id,tasks,contactId,"Lookup new contact ID from migration map",String,true,"Valid reference to contacts.id or NULL"
legacy_tasks,opportunity_id,tasks,opportunityId,"Lookup new opportunity ID from migration map",String,true,"Valid reference to opportunities.id or NULL"
legacy_tasks,completed_date,tasks,completedAt,"Parse date, convert to ISO 8601 datetime",DateTime,true,"Valid ISO 8601 or NULL"
legacy_tasks,created_ts,tasks,createdAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_tasks,updated_ts,tasks,updatedAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
legacy_audit_logs,log_id,audit_logs,id,"Generate CUID from legacy ID mapping",String,false,"NOT NULL, UNIQUE"
legacy_audit_logs,action_type,audit_logs,action,"TRIM to 255 chars, standardize action names",String,false,"NOT NULL, Max 255 chars"
legacy_audit_logs,entity_type,audit_logs,entityType,"TRIM to 255 chars",String,false,"NOT NULL, Max 255 chars"
legacy_audit_logs,entity_id,audit_logs,entityId,"Copy as-is, reference mapped IDs",String,false,"NOT NULL, Max 255 chars"
legacy_audit_logs,old_data,audit_logs,oldValue,"Parse JSON string to JSON object",Json,true,"Valid JSON or NULL"
legacy_audit_logs,new_data,audit_logs,newValue,"Parse JSON string to JSON object",Json,true,"Valid JSON or NULL"
legacy_audit_logs,ip_address,audit_logs,ipAddress,"Validate IPv4 or IPv6 format",String,true,"Valid IP or NULL"
legacy_audit_logs,user_agent,audit_logs,userAgent,"TRIM to 1000 chars",String,true,"Max 1000 chars"
legacy_audit_logs,user_id,audit_logs,userId,"Lookup new user ID from migration map",String,false,"Valid reference to users.id"
legacy_audit_logs,created_ts,audit_logs,createdAt,"Parse Unix timestamp to ISO 8601",DateTime,false,"Valid ISO 8601"
